{'stock_code': '002415', 'initial_cash': 50000, 'final_value': 42818.0, 'return_rate': -14.363999999999999, 'max_drawdown': 14.606, 'total_trades': 3, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '000001', 'initial_cash': 50000, 'final_value': 50193.99999999999, 'return_rate': 0.38799999999998835, 'max_drawdown': 12.892887059766181, 'total_trades': 3, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '600926', 'initial_cash': 50000, 'final_value': 59198.0, 'return_rate': 18.39599999999999, 'max_drawdown': 2.304, 'total_trades': 4, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '601696', 'initial_cash': 50000, 'final_value': 65749.0, 'return_rate': 31.498000000000005, 'max_drawdown': 4.7327865503050015, 'total_trades': 2, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '600879', 'initial_cash': 50000, 'final_value': 44609.99999999999, 'return_rate': -10.780000000000012, 'max_drawdown': 12.72542147206831, 'total_trades': 3, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '600521', 'initial_cash': 50000, 'final_value': 45384.0, 'return_rate': -9.231999999999996, 'max_drawdown': 10.364464692482915, 'total_trades': 3, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '601568', 'initial_cash': 50000, 'final_value': 46118.00000000001, 'return_rate': -7.763999999999982, 'max_drawdown': 8.663999999999985, 'total_trades': 2, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '601111', 'initial_cash': 50000, 'final_value': 42710.0, 'return_rate': -14.580000000000004, 'max_drawdown': 15.984, 'total_trades': 1, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '601231', 'initial_cash': 50000, 'final_value': 45773.0, 'return_rate': -8.453999999999995, 'max_drawdown': 15.456, 'total_trades': 4, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '603868', 'initial_cash': 50000, 'final_value': 46551.0, 'return_rate': -6.898000000000004, 'max_drawdown': 10.434, 'total_trades': 2, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '002179', 'initial_cash': 50000, 'final_value': 55379.0, 'return_rate': 10.758000000000001, 'max_drawdown': 9.533492224870415, 'total_trades': 3, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '600380', 'initial_cash': 50000, 'final_value': 43693.0, 'return_rate': -12.614000000000003, 'max_drawdown': 13.606, 'total_trades': 2, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '601866', 'initial_cash': 50000, 'final_value': 46384.0, 'return_rate': -7.232000000000005, 'max_drawdown': 9.672, 'total_trades': 2, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '002318', 'initial_cash': 50000, 'final_value': 45480.0, 'return_rate': -9.040000000000003, 'max_drawdown': 10.384, 'total_trades': 2, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '600685', 'initial_cash': 50000, 'final_value': 46811.0, 'return_rate': -6.377999999999995, 'max_drawdown': 7.06020827514663, 'total_trades': 3, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '000582', 'initial_cash': 50000, 'final_value': 44404.0, 'return_rate': -11.192000000000002, 'max_drawdown': 13.17883429480805, 'total_trades': 3, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '600546', 'initial_cash': 50000, 'final_value': 48171.0, 'return_rate': -3.6579999999999946, 'max_drawdown': 6.324, 'total_trades': 1, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '600309', 'initial_cash': 50000, 'final_value': 46200.0, 'return_rate': -7.599999999999996, 'max_drawdown': 8.88, 'total_trades': 1, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '300666', 'initial_cash': 50000, 'final_value': 38318.0, 'return_rate': -23.363999999999997, 'max_drawdown': 25.772, 'total_trades': 5, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '300751', 'initial_cash': 50000, 'final_value': 42777.0, 'return_rate': -14.446000000000003, 'max_drawdown': 15.006, 'total_trades': 4, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '002244', 'initial_cash': 50000, 'final_value': 52634.000000000015, 'return_rate': 5.268000000000028, 'max_drawdown': 3.3319999999999856, 'total_trades': 2, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '300896', 'initial_cash': 50000, 'final_value': 51205.0, 'return_rate': 2.410000000000001, 'max_drawdown': 6.682617404851992, 'total_trades': 3, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '600406', 'initial_cash': 50000, 'final_value': 48404.0, 'return_rate': -3.191999999999995, 'max_drawdown': 3.192, 'total_trades': 1, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '603688', 'initial_cash': 50000, 'final_value': 51273.99999999999, 'return_rate': 2.5479999999999947, 'max_drawdown': 1.768, 'total_trades': 1, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '600663', 'initial_cash': 50000, 'final_value': 46075.99999999999, 'return_rate': -7.8480000000000105, 'max_drawdown': 10.368000000000015, 'total_trades': 2, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '600859', 'initial_cash': 50000, 'final_value': 47600.0, 'return_rate': -4.800000000000004, 'max_drawdown': 7.95, 'total_trades': 2, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '600486', 'initial_cash': 50000, 'final_value': 48872.0, 'return_rate': -2.2560000000000024, 'max_drawdown': 3.108, 'total_trades': 1, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '002831', 'initial_cash': 50000, 'final_value': 51666.0, 'return_rate': 3.3320000000000016, 'max_drawdown': 1.4654348518636509, 'total_trades': 2, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '000408', 'initial_cash': 50000, 'final_value': 47676.0, 'return_rate': -4.647999999999996, 'max_drawdown': 4.922486814767461, 'total_trades': 1, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '601995', 'initial_cash': 50000, 'final_value': 50353.000000000015, 'return_rate': 0.7060000000000288, 'max_drawdown': 12.355793049755796, 'total_trades': 4, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '600588', 'initial_cash': 50000, 'final_value': 49970.0, 'return_rate': -0.060000000000004494, 'max_drawdown': 9.90883276042445, 'total_trades': 4, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '000785', 'initial_cash': 50000, 'final_value': 60996.0, 'return_rate': 21.99199999999999, 'max_drawdown': 5.075737443529099, 'total_trades': 5, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '601006', 'initial_cash': 50000, 'final_value': 49315.0, 'return_rate': -1.3700000000000045, 'max_drawdown': 3.172, 'total_trades': 2, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '601398', 'initial_cash': 50000, 'final_value': 52926.99999999999, 'return_rate': 5.853999999999981, 'max_drawdown': 2.3901469706058927, 'total_trades': 7, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '600875', 'initial_cash': 50000, 'final_value': 50400.99999999999, 'return_rate': 0.8019999999999916, 'max_drawdown': 3.648, 'total_trades': 4, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '601127', 'initial_cash': 50000, 'final_value': 50901.99999999998, 'return_rate': 1.8039999999999612, 'max_drawdown': 4.176, 'total_trades': 4, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '300919', 'initial_cash': 50000, 'final_value': 53058.0, 'return_rate': 6.11600000000001, 'max_drawdown': 10.235501116600123, 'total_trades': 2, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '600995', 'initial_cash': 50000, 'final_value': 51539.0, 'return_rate': 3.078000000000003, 'max_drawdown': 3.167298321602599, 'total_trades': 2, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '600016', 'initial_cash': 50000, 'final_value': 49398.0, 'return_rate': -1.204000000000005, 'max_drawdown': 6.230068337129841, 'total_trades': 4, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '601988', 'initial_cash': 50000, 'final_value': 49128.00000000001, 'return_rate': -1.74399999999999, 'max_drawdown': 6.901502823777161, 'total_trades': 6, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '000408', 'initial_cash': 50000, 'final_value': 47676.0, 'return_rate': -4.647999999999996, 'max_drawdown': 4.922486814767461, 'total_trades': 1, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '601808', 'initial_cash': 50000, 'final_value': 47888.0, 'return_rate': -4.2240000000000055, 'max_drawdown': 5.664, 'total_trades': 1, 'start_date': '20240101', 'end_date': '20241231'}
